COURSE CURRICULUM,MODULES,AVERAGE DURATION,DURATION IN MINS
System Administration,DNS for Web Servers,2 minutes,0:02:00
System Administration,DNS for Internal Networks,3 minutes,0:03:00
System Administration,Dynamic Host Configuration Protocol (DHCP),3 minutes,0:03:00
System Administration,Resolving a Hostname or Domain Name,3 minutes,0:03:00
System Administration,Managing Services in Linux,4 minutes,0:04:00
System Administration,Managing Services in Windows,3 minutes,0:03:00
System Administration,Configuring Services in Linux,4 minutes,0:04:00
System Administration,Configuring Services in Windows,4 minutes,0:04:00
System Administration,Configuring DNS,6 minutes,0:06:00
System Administration,Configuring DHCP,7 minutes,0:07:00
System Administration,Configuring Communication Services,2 minutes,0:02:00
System Administration,Configuring Email Services,3 minutes,0:03:00
System Administration,Configuring User Productivity Services,2 minutes,0:02:00
System Administration,Configuring Security Services,3 minutes,0:03:00
System Administration,What are file services?,1 minutes,0:01:00
System Administration,Network File Storage,3 minutes,0:03:00
System Administration,Configuring Print Services,3 minutes,0:03:00
System Administration,What is a database server?,1 minutes,0:01:00
System Administration,Cloud Concepts,3 minutes,0:03:00
System Administration,Typical Cloud Infrastructure Setup,1 minutes,0:01:00
System Administration,When and How to Choose Cloud,2 minutes,0:02:00
System Administration,What is a directory server?,4 minutes,0:04:00
System Administration,Implementing Directory Services,2 minutes,0:02:00
System Administration,What is centralized management?,4 minutes,0:04:00
System Administration,What is Lightweight Directory Access Protocol (LDAP)?,1 minutes,0:01:00
System Administration,What is LDAP Authentication?,3 minutes,0:03:00
System Administration,What is Active Directory?,6 minutes,0:06:00
System Administration,Managing Active Directory,3 minutes,0:03:00
System Administration,Managing Active Directory Users and Groups,11 minutes,0:11:00
System Administration,Managing Active Directory User Passwords,4 minutes,0:04:00
System Administration,Joining an Active Directory Domain,4 minutes,0:04:00
System Administration,What is Group Policy?,4 minutes,0:04:00
System Administration,Group Policy Creation and Editing,13 minutes,0:13:00
System Administration,Group Policy Inheritance and Precedence,8 minutes,0:08:00
System Administration,Group Policy Troubleshooting,13 minutes,0:13:00
System Administration,What is OpenLDAP?,4 minutes,0:04:00
System Administration,Managing OpenLDAP,3 minutes,0:03:00
,,,
IT Security,Essential Security Terms,4 minutes,0:04:00
IT Security,Malicious Software,5 minutes,0:05:00
IT Security,What are Malwares?,2 minutes,0:02:00
IT Security,Network Attacks,3 minutes,0:03:00
IT Security,Intro to Denial-of-Service,3 minutes,0:03:00
IT Security,Client-Side-Attacks,2 minutes,0:02:00
IT Security,Password Attacks,2 minutes,0:02:00
IT Security,Deceptive Attacks,3 minutes,0:03:00
IT Security,Symmetric Cryptography,5 minutes,0:05:00
IT Security,Symmetric Encryption Algorithms,9 minutes,0:09:00
IT Security,Asymmetric Cryptography,7 minutes,0:07:00
IT Security,Asymmetric Encryption Algorithms,5 minutes,0:05:00
IT Security,Hashing,3 minutes,0:03:00
IT Security,Hashing Algorithms,10 minutes,0:10:00
IT Security,Public Key Infrastructure,9 minutes,0:09:00
IT Security,Securing Network Traffic,6 minutes,0:06:00
IT Security,Cryptographic Hardware,6 minutes,0:06:00
IT Security,Multifactor Authentication,12 minutes,0:12:00
IT Security,Certificates,3 minutes,0:03:00
IT Security,Lightweight Directory Access Protocol ,3 minutes,0:03:00
IT Security,RADIUS,1 minutes,0:01:00
IT Security,Kerberos,7 minutes,0:07:00
IT Security,TACACS+,1 minutes,0:01:00
IT Security,Single Sign-On,3 minutes,0:03:00
IT Security,Authorization and Access Control Methods,1 minutes,0:01:00
IT Security,Access Control,5 minutes,0:05:00
IT Security,Access Control List,1 minutes,0:01:00
IT Security,Tracking Usage and Access,3 minutes,0:03:00
IT Security,Network Hardware Hardening,9 minutes,0:09:00
IT Security,Network Software Hardening,5 minutes,0:05:00
IT Security,WEP Encryption and Why You Shouldn't Use It,8 minutes,0:08:00
IT Security,"Working around WEP, WPA/WPA2",14 minutes,0:14:00
IT Security,Wireless Hardening,3 minutes,0:03:00
IT Security,Wireshark and tcpdump,6 minutes,0:06:00
